type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,7,0,1,1,1,0,0,0,-95,0,6,0,3818780,0,110,0,0,3.53058,256,[0 0 -12 4 -11 5 -11 6 -11 8 -10 8 -10 9 -11 9 -11 10 -11 10 -11 10 -11 10 -10 9 -9 9 -9 9 -8 9 -7 9 -6 9 -6 9 -6 10 -6 10 -6 11 -7 10 -8 10 -9 9 -11 8 -12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 2 -13 0 -13 -2 -13 -3 -13 -4 -13 -6 -12 -6 -11 -6 -11 -6 -10 -5 -11 -4 -11 -4 -11 -3 -12 -2 -13 -2 -14 -1 -15 -1 -15 -1 -15 -1 -15 0 -15 0 -15 0 -15 0 -14 0 -13 1 -13 2 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,7,0,1,1,1,0,0,0,-95,0,6,0,3818982,0,110,0,0,3.56287,256,[0 0 12 2 11 0 12 -1 13 -2 13 -3 13 -3 14 -3 14 -4 14 -4 14 -4 13 -4 12 -4 11 -4 11 -4 10 -5 9 -6 9 -6 9 -7 10 -8 10 -8 11 -7 12 -6 12 -5 12 -4 13 -2 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 2 11 4 10 6 10 8 9 9 9 10 8 10 7 11 6 10 5 9 6 9 7 8 7 7 8 7 9 7 11 6 11 6 12 7 12 7 12 7 13 7 13 7 13 6 12 6 12 5 12 4 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-17,11,1,7,0,1,1,1,0,0,0,-95,0,6,0,3854034,0,110,0,0,3.59931,256,[0 0 11 -18 10 -19 9 -18 9 -16 7 -14 6 -12 4 -9 1 -6 -1 -4 -4 -2 -7 0 -9 3 -12 4 -14 5 -17 5 -18 5 -19 5 -19 3 -19 1 -17 0 -15 -1 -13 -2 -10 -2 -6 -1 -4 0 -2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 2 -8 1 -5 1 -2 2 0 4 2 7 3 9 4 12 4 15 5 17 3 18 3 19 3 19 2 18 2 16 1 14 2 11 2 9 2 5 3 1 4 -2 5 -6 6 -9 7 -13 8 -15 10 -17 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-17,11,1,6,0,1,1,1,0,0,0,-95,0,6,0,3937772,0,110,0,0,3.64958,256,[0 0 -22 5 -21 4 -20 4 -19 4 -16 3 -13 3 -9 2 -6 3 -1 3 3 3 6 4 9 4 12 5 14 6 16 7 17 9 16 10 15 11 14 11 12 11 9 10 6 8 4 6 2 2 2 -1 3 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 5 8 5 5 4 3 2 2 -2 2 -6 3 -9 4 -12 6 -15 7 -16 9 -17 11 -17 11 -17 11 -16 10 -15 9 -13 7 -12 5 -10 2 -7 -1 -5 -4 -3 -7 -1 -12 1 -14 3 -17 4 -20 5 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-17,11,1,6,0,1,1,1,0,0,0,-95,0,6,0,3937978,0,110,0,0,3.67808,256,[0 0 21 -4 20 -4 19 -4 18 -4 15 -4 12 -3 9 -3 6 -3 2 -3 -2 -4 -5 -4 -8 -4 -11 -4 -14 -5 -17 -6 -18 -7 -18 -8 -18 -9 -18 -10 -16 -10 -14 -10 -11 -10 -8 -9 -6 -7 -4 -4 -3 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -7 -4 -5 -3 -2 -4 1 -4 4 -6 7 -9 10 -11 11 -13 12 -14 12 -16 12 -16 12 -16 11 -15 10 -13 9 -11 9 -9 7 -6 6 -3 4 0 3 4 1 7 0 11 -1 14 -2 16 -3 19 -3 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,6,0,1,1,1,0,0,0,-95,0,6,0,3971517,0,110,0,0,3.71854,256,[0 0 20 -2 19 -2 18 -3 17 -3 14 -3 11 -3 8 -2 5 -2 2 0 -1 1 -5 3 -7 4 -10 5 -12 7 -14 9 -15 9 -16 9 -17 9 -16 8 -16 7 -14 5 -12 4 -9 2 -6 1 -3 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -3 7 -1 4 -1 1 -1 -3 -2 -6 -3 -10 -4 -12 -6 -15 -7 -16 -8 -18 -9 -18 -9 -18 -9 -17 -8 -16 -8 -15 -6 -12 -5 -9 -4 -7 -2 -3 -1 0 -1 4 0 8 0 11 0 14 0 18 -1 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-17,11,1,5,0,1,1,1,0,0,0,-95,0,6,0,4088897,0,110,0,0,3.8007,256,[0 0 -19 11 -18 11 -17 10 -16 9 -13 8 -10 6 -7 5 -4 4 0 3 4 2 7 1 10 1 13 1 15 1 18 2 19 3 18 4 18 5 16 6 13 6 11 6 7 5 5 3 2 0 2 -3 2 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 1 10 2 7 2 4 0 2 -2 1 -5 0 -9 0 -12 1 -15 1 -16 3 -19 4 -19 4 -19 4 -19 5 -17 4 -15 3 -14 2 -11 0 -8 -2 -5 -4 -2 -7 2 -10 4 -11 7 -14 9 -16 10 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-18,11,1,5,0,1,1,1,0,0,0,-95,0,6,0,4089111,0,110,0,0,3.82877,256,[0 0 1 -21 1 -22 1 -21 1 -19 0 -17 0 -14 -1 -11 -2 -7 -3 -4 -4 0 -5 3 -6 7 -7 10 -8 12 -10 13 -11 14 -12 15 -13 14 -14 13 -14 11 -13 9 -12 6 -10 4 -7 2 -4 2 -1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 3 -7 2 -4 2 0 2 2 4 4 6 6 8 8 11 9 13 9 15 8 16 8 17 8 17 7 16 7 15 6 12 5 10 4 7 4 3 3 0 2 -4 1 -8 2 -11 1 -15 1 -18 1 -20 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,5,0,1,1,1,0,0,0,-95,0,6,0,4123095,0,110,0,0,3.86651,256,[0 0 -13 -1 -13 0 -13 1 -14 3 -14 3 -15 4 -15 4 -14 4 -15 5 -14 5 -14 5 -13 5 -12 5 -11 5 -11 6 -10 6 -9 6 -9 8 -10 8 -10 8 -11 8 -12 7 -12 6 -13 5 -14 3 -13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -3 -13 -4 -12 -6 -12 -8 -11 -10 -11 -11 -10 -11 -9 -11 -8 -11 -7 -10 -8 -9 -9 -8 -9 -8 -10 -7 -11 -7 -12 -6 -13 -7 -14 -7 -14 -7 -14 -7 -14 -7 -14 -7 -15 -6 -14 -6 -13 -5 -13 -3 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-20,11,1,4,0,1,1,1,0,0,0,-95,0,6,0,4202575,0,110,0,0,3.91441,256,[0 0 -15 2 -14 3 -14 4 -14 5 -14 6 -14 7 -14 7 -14 7 -14 7 -14 7 -14 7 -12 6 -12 6 -11 6 -10 6 -9 6 -9 6 -8 7 -8 8 -9 8 -9 8 -10 7 -11 7 -11 5 -12 4 -13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 1 -13 -1 -13 -3 -13 -5 -12 -6 -12 -7 -11 -7 -10 -8 -10 -7 -9 -6 -10 -6 -10 -5 -11 -5 -11 -4 -12 -4 -14 -4 -15 -4 -16 -4 -16 -4 -16 -4 -16 -4 -16 -4 -17 -3 -16 -3 -15 -2 -16 -1 ]
